Tahun mengikuti IISMA,Interaksi,sentiment_score,sentiment_label
2021,Interaksi dengan dosen dan mentor selama program lancar-lancar saja. Logbook juga terisi tepat waktu dan selalu dipantau pengisiannya.,2,Positif
2023,Interaksi berjalan mudah.,2,Positif
2023,Mentor sangat baik.,2,Positif
2023,"Interaksi baik, sering ngobrol juga.",2,Positif
2022,Interaksi sangat baik.,2,Positif
2023,Berjalan dengan lancar.,2,Positif
2023,Berjalan dengan baik.,2,Positif
2022,"Kadang suka tidak bisa membagi waktu luang dengan dosen jadi jarang berinteraksi, paling cuma konsultasi terkait logbook.",1,Negatif
2022,Interaksi menyenangkan.,2,Positif
2021,"Alhamdulillah, interaksi dengan mentor menyenangkan.",2,Positif
2021,Dosen dan mentor sangat welcome.,2,Positif
2022,Dosen mentor sangat mendukung.,2,Positif
2023,Kami sangat beruntung dimentori oleh mereka.,2,Positif
2021,"Mentor sangat interaktif, membuat saya suka ngobrol.",2,Positif
2023,"Agak susah buat jadwal, tetapi dosen dan mentor selalu memberikan umpan positif.",3,Netral
2021,Interaksi berjalan baik.,2,Positif
2021,Interaksi lancar.,2,Positif
2021,Interaksi baik.,2,Positif
2022,Interaksi lancar.,2,Positif
2023,Interaksi baik.,2,Positif
2023,Interaksi baik.,2,Positif
2023,"Saya introvert, mentor interaktif mengajak ngobrol duluan.",2,Positif
2021,"Alhamdulillah, interaksi baik.",2,Positif
2023,Interaksi cukup baik.,3,Netral
2021,Interaksi sangat membantu.,2,Positif
2023,Interaksi baik.,2,Positif
2022,Respon dosen dan mentor sangat baik.,2,Positif
2021,Interaksi cukup baik.,3,Netral
2021,Interaksi baik.,2,Positif
2022,Komunikasi lancar.,2,Positif
1,Interaksi sangat interaktif dan berjalan baik.,2,Positif
2023,Interaksi berjalan baik.,2,Positif
2022,Dosen ramah semua.,2,Positif
2021,Dosen sangat membimbing.,2,Positif
2023,Mendapatkan dukungan dan bimbingan baik. Ada kendala komunikasi dan perbedaan budaya.,3,Netral
2023,Berjalan dengan baik.,2,Positif
2023,Interaksi berjalan lancar.,2,Positif
2022,Interaksi lancar dan baik.,2,Positif
2022,Dosen terbuka untuk cerita dan sangat terbuka.,2,Positif
2022,Dosen atau mentor kurang tanggap.,1,Negatif
2022,Akses terbuka dan dosen cepat tanggap.,2,Positif
2022,Interaksi lancar.,2,Positif
2022,Terbuka dan lancar.,2,Positif
2021,Interaksi lancar dan menyenangkan.,3,Netral
2021,"Fast respon, tetapi harus mencari dosennya dulu.",2,Positif
2021,Dosen fast respon.,2,Positif
2023,Dosen fast respon.,2,Positif
2021,Saya introvert jadi susah interaksi.,1,Negatif
2023,Dosen slow respon.,1,Negatif
2022,Dosen sangat baik.,2,Positif
2022,Hubungan dengan dosen dan mentor baik.,2,Positif
2021,Interaksi dengan dosen berjalan baik.,2,Positif
2022,Dosen dan mentor mudah diajak interaksi.,2,Positif
2021,Interaksi lancar dan fast respon.,2,Positif
2021,Dosen fast respon.,1,Negatif
2023,Dosen fast respon.,1,Negatif
2021,Dosen sibuk.,2,Positif
2023,Dosen suka hilang.,2,Positif
2023,Dosen fast respon.,2,Positif
2021,Dosen fast respon.,2,Positif
2021,Interaksi baik.,1,Negatif
2023,Mentor bagus.,1,Negatif
2023,Interaksi mudah.,2,Positif
2021,Interaksi baik.,2,Positif
2022,Interaksi agak susah.,2,Positif
2021,"Interaksi baik, tidak ada masalah.",2,Positif
